Dataset,EER,CI_Lower,CI_Upper,Margin
CemiFace,0.072671,0.0722959375,0.0730562,0.0003801312499999987
Control10k,0.40809077058353316,0.40307273348321343,0.41336144024780175,0.005144353382294159
DCFace,0.059667,0.059343875000000004,0.06000415,0.00033013749999999745
DIGIFACE_1M_1,0.039233,0.038969975,0.039515025,0.0002725250000000026
Digi2Real,0.010728,0.010564974999999999,0.0108835375,0.00015928125000000057
GanDiffFace,0.314639,0.3139939,0.315249125,0.0006276125000000132
HyperFace,0.006864,0.006727,0.007001025,0.0001370124999999999
IDNet,0.08396,0.0835726,0.084327,0.00037720000000000115
IDiffFace,0.016984,0.016802974999999998,0.0171590375,0.00017803125000000197
LangevinDisco,0.225852,0.22526695,0.22642605,0.0005795499999999981
MorphFace,0.024517,0.02429795,0.0247265125,0.00021428125000000006
SFace,0.221816,0.22121746250000002,0.22241965,0.0006010937499999897
SFace2,0.165958,0.16542395,0.16648253749999997,0.0005292937499999928
Syn-Multi-PIE,0.077926,0.077552975,0.07828711249999999,0.0003670687499999978
SynFace,0.343483,0.34283991249999995,0.3441725375,0.0006663125000000159
Vec2Face,0.008808,0.008686,0.008940075,0.0001270375000000006
