Dataset,Genuine_Mean,Genuine_CI_Lower,Genuine_CI_Upper,Impostor_Mean,Impostor_CI_Lower,Impostor_CI_Upper
CemiFace,0.29622208072259026,0.2959635391999597,0.29650144009699225,0.00437589114901294,0.00424479695773439,0.004522073806924705
Control10k,0.6671831234235088,0.6653885896351545,0.6690941909564424,0.6242180029360784,0.6240275123185929,0.6244185559794949
DCFace,0.333191438152571,0.33292741180420715,0.33347012765181916,0.012810813762517673,0.012677493172272443,0.01295950075881352
DIGIFACE_1M_1,0.5161383800902652,0.5158722584962991,0.5163925895880224,0.10037334796659621,0.10020730074226832,0.10053462594931085
Digi2Real,0.6442296145725331,0.6439532595148866,0.6444918048897339,0.023606170222526108,0.023441732932054385,0.02376477761016829
GanDiffFace,0.22570676481976526,0.22530416867265352,0.2260813880387781,0.06842263724948243,0.0681833671192679,0.06867985175680315
HyperFace,0.6426803693128225,0.6424433537880883,0.6429241709815191,0.023132808815508058,0.022995088540861273,0.02326176721955488
IDNet,0.33951886730623565,0.3392075994176766,0.33983107324553,0.009532021639514431,0.009389267644383095,0.009676628306508655
IDiffFace,0.4475727763963228,0.44736756984498693,0.4477768313979303,0.025085493881743876,0.024938494546457003,0.025239548570046396
LangevinDisco,0.19977785123990502,0.19952299534440723,0.200029003708374,0.035011232668612155,0.034868873684381387,0.035170582842057235
MorphFace,0.4359990928682283,0.43573961827175617,0.4362527470540896,0.007835106430932487,0.007699029243345486,0.007967976364462882
SFace,0.16510967567881768,0.1648553720454241,0.16534884525618215,0.009395949885445213,0.009259934178401732,0.009542275505179523
SFace2,0.295686352853202,0.2954248443154934,0.2959739621078564,0.07962019858334504,0.07943640121402569,0.07979288480817137
Syn-Multi-PIE,0.536809659263171,0.5364498839833477,0.537181370061322,0.11855136712767123,0.11837713525539183,0.11876660986950491
SynFace,0.19760277729589096,0.19727375418943013,0.19791381669752203,0.07925521704411359,0.07907972838391719,0.07944277597039193
Vec2Face,0.4582303041816655,0.45799656539986083,0.45846291642362813,0.007055822296090809,0.006914187715960181,0.0072027852350422476
